is_owner,is_promoted,is_open,is_exposure,url,created,advertised_date,id,rentable_id,city,city_area,street_name,postal_code,description,category,title,rooms,size_m2,monthly_rent,monthly_rent_currency,monthly_rent_extra_costs,prepaid_rent,deposit,deposit_currency,location,open_house,images,has_video,formatted_address,state,floor,rental_period,available_from,is_contactable_via_message,other_details,review_reason,needs_follow_up,city_level_1,city_level_2,city_level_3,upsell_url,video_url,digital_showing,created_draft_contract,energy_rating,locked_fields,hide_from_company_search,interactive_floor_plan_id,deleted,social_housing,is_contacted,is_newbuild,ad_phone_number,video
False,False,False,False,/v%C3%A6relser/k%C3%B8benhavn/18m2-1-vaer-id-5332664,2023-01-21T23:01:01.271425+00:00,2024-07-21T18:29:02.796153+00:00,5332664,5380024,København,København V,Edvard Falcks Gade,1569,,rental_room,Stort lyst værelse på 18 kvm med central beliggenhed,1.0,18.0,7000.0,DKK,0.0,7000.0,7000.0,DKK,"{'lat': 55.671245, 'lng': 12.571105}",,"[{'url': 'https://image-lambda.boligportal.dk/d829b0dae59a7edbdea5b9273a7eb52d', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/6c2b5a25ac8f888f91b209ec971c2905', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/883244813100f1a6855f7807f7c35000', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/4f4d1a2480dd4f408894e2a024355be5', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/cdc865816ce661889e2e1b2cadae0ca0', 'is_floor_plan': False}]",False,,ACTIVE_APPROVED,4.0,0,2024-08-01,,,,False,københavn,københavn v,,/lejem%C3%A5l/5380024/produkter,/lejem%C3%A5l/5380024/video,True,True,C,[],False,,False,False,False,False,,
False,False,False,False,/v%C3%A6relser/k%C3%B8benhavn/14m2-1-vaer-id-5262404,2022-02-28T10:09:59.547973+00:00,2024-07-21T17:58:51.245474+00:00,5262404,5261576,København,Frederiksberg,Borups Alle,2000,,rental_room,Værelse til leje/Frederiksberg/ydre Nørrebro til kvindelig lejer,1.0,14.0,4700.0,DKK,0.0,0.0,4700.0,DKK,"{'lat': 55.694738, 'lng': 12.529772}",,"[{'url': 'https://image-lambda.boligportal.dk/0d5ebb995abc99415b1256f1aebf14e3', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/e7f979a3eb3085fba273df9342231659', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/a8e73d3c4c1d453ebb2512a39b75b079', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/2c26d6e07cf29dcc531125eeab5f56fa', 'is_floor_plan': False}]",False,,ACTIVE_APPROVED,1.0,6,2024-09-01,,,,False,københavn,frederiksberg,,/lejem%C3%A5l/5261576/produkter,/lejem%C3%A5l/5261576/video,False,False,A2020,[],False,,False,False,False,False,,
False,False,False,False,/lejligheder/k%C3%B8benhavn/56m2-2-vaer-id-5184445,2021-05-03T16:55:30.755212+00:00,2024-07-21T14:51:34.333669+00:00,5184445,5184476,København,København Ø,Æbeløgade,2100,,rental_apartment,"Lækker, lys indflytningsklar 2-værelses lejlighed i det eftertragtede Klimakvarter på Østerbro med indflytning pr. 01/10/1024",2.0,56.0,12400.0,DKK,1100.0,26000.0,26000.0,DKK,"{'lat': 55.712532, 'lng': 12.561227}",,"[{'url': 'https://image-lambda.boligportal.dk/30dd82b6d883712fe5a11493f63a1075', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/0395f83d92e88ba8a92caa36a26b3cc4', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/c232de70790d4469329fc12ab40dd940', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/68366328bc7ab967d41bb392313c2625', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/4b19bcd25611175c4ae6080a607511a3', 'is_floor_plan': False}]",False,,ACTIVE_APPROVED,2.0,0,2024-10-01,,,,False,københavn,københavn ø,,/lejem%C3%A5l/5184476/produkter,/lejem%C3%A5l/5184476/video,True,False,D,[],False,,False,False,False,False,,
False,False,False,False,/lejligheder/k%C3%B8benhavn/111m2-4-vaer-id-5447900,2024-07-21T12:00:41.599686+00:00,2024-07-21T12:03:22.882059+00:00,5447900,5531415,København,Frederiksberg C,Gammel Kongevej,1850,,rental_apartment,Liebhaver lejlighed i hjertet af Frederiksberg ,4.0,111.0,25000.0,DKK,,0.0,75000.0,DKK,"{'lat': 55.678001, 'lng': 12.534285}",,"[{'url': 'https://image-lambda.boligportal.dk/f9352e7c9d68e1db209461893c99d104', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/d07181f199f43ee0b1fb8701a2681bf2', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/35a087168d2eda38f88548f9bfc21047', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/90f29535a86ca586d02141b2ab47d3bb', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/5402574fbdfe00c51b009241b6d3459c', 'is_floor_plan': False}]",True,,ACTIVE_APPROVED,1.0,6,,,,,False,københavn,frederiksberg c,,/lejem%C3%A5l/5531415/produkter,/lejem%C3%A5l/5531415/video,False,False,C,[],False,,False,False,False,False,,
False,False,False,False,/v%C3%A6relser/k%C3%B8benhavn/11m2-1-vaer-id-5447889,2024-07-21T10:17:52.146406+00:00,2024-07-21T10:17:52.207751+00:00,5447889,5531403,København,København Ø,Willemoesgade,2100,,rental_room,Fantastisk beliggenhed,1.0,11.0,5500.0,DKK,0.0,5500.0,5500.0,DKK,"{'lat': 55.697381, 'lng': 12.581195}",,"[{'url': 'https://image-lambda.boligportal.dk/ea2ded98d8ab32a082c3e01999c53685', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/ac4c55a7b06e314718625f8e6ee131bd', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/7611f0130624c7375c31589b3c9aabb9', 'is_floor_plan': False}]",True,,ACTIVE_APPROVED,5.0,12,2024-08-01,,,,False,københavn,københavn ø,,/lejem%C3%A5l/5531403/produkter,/lejem%C3%A5l/5531403/video,False,False,D,[],False,,False,False,False,False,,
False,False,False,False,/lejligheder/k%C3%B8benhavn/51m2-1-vaer-id-5446170,2024-07-08T18:05:42.199223+00:00,2024-07-21T08:23:54.426675+00:00,5446170,5281184,København,Frederiksberg C,Carl Bernhards Vej,1817,,rental_apartment,Stor 1 værelses på Frederiksberg C! Tæt på alt - inklusiv metro. ,1.0,51.0,8450.0,DKK,859.0,0.0,25350.0,DKK,"{'lat': 55.671765, 'lng': 12.542728}",,"[{'url': 'https://image-lambda.boligportal.dk/11d43b9555012e8c93ed5c1466365f1a', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/bbda54db4e6ea010c24a738807082c8e', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/8cdf6c6d4230060fdfa932912d8aff45', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/29ee6fc5056a7720ae248e9b619d21c8', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/2eb7a641d7b2dff39e9ba014faacf8e6', 'is_floor_plan': True}]",False,,ACTIVE_APPROVED,1.0,24,2024-09-15,,,,False,københavn,frederiksberg c,,/lejem%C3%A5l/5281184/produkter,/lejem%C3%A5l/5281184/video,False,False,,[],False,,False,False,False,False,,
False,False,False,False,/v%C3%A6relser/k%C3%B8benhavn/15m2-1-vaer-id-5381282,2023-08-20T09:33:01.517000+00:00,2024-07-21T08:07:09.351245+00:00,5381282,5443346,København,København S,Under Elmene,2300,,rental_room,15 m2 i starten af Amager,1.0,15.0,6500.0,DKK,0.0,0.0,6500.0,DKK,"{'lat': 55.66544, 'lng': 12.598308}",,"[{'url': 'https://image-lambda.boligportal.dk/d51bab35c6b4f67fd69b4a0955879fad', 'is_floor_plan': False}]",False,,ACTIVE_APPROVED,5.0,0,2024-08-01,,,,False,københavn,københavn s,,/lejem%C3%A5l/5443346/produkter,/lejem%C3%A5l/5443346/video,True,False,,[],False,,False,False,False,False,,
False,False,False,False,/v%C3%A6relser/k%C3%B8benhavn/30m2-1-vaer-id-5378119,2023-08-04T19:48:49.710743+00:00,2024-07-21T07:26:53.183587+00:00,5378119,5438845,København,Søborg,Nordtoftevej,2860,,rental_room,Annex ,1.0,30.0,6000.0,DKK,0.0,6000.0,0.0,DKK,"{'lat': 55.725852, 'lng': 12.508278}",,"[{'url': 'https://image-lambda.boligportal.dk/415d447a9dde68c897a55cd2bab6decc', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/9199a2cb707505b0ac6432cb861d94d2', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/17f7b6a817f164f1c75fbc5177acea33', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/25d951592e5d73d62df81d20df848940', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/b2cb1e8e2e4ae1fafbfabe7a1c0bc1b1', 'is_floor_plan': False}]",False,,ACTIVE_APPROVED,,24,2024-08-01,,,,False,københavn,søborg,,/lejem%C3%A5l/5438845/produkter,/lejem%C3%A5l/5438845/video,False,True,,[],False,,False,False,False,False,,
False,False,False,False,/lejligheder/k%C3%B8benhavn/63m2-3-vaer-id-5095348,2020-12-14T13:42:17+00:00,2024-07-21T07:07:35.465890+00:00,5095348,5095348,København,København S,Kastrupvej,2300,,rental_apartment,"3 værelse, lejlighed, 63 m2, Kastrupvej, KBH",3.0,63.0,10000.0,DKK,1000.0,0.0,30000.0,DKK,"{'lat': 55.655677, 'lng': 12.617045}",,"[{'url': 'https://image-lambda.boligportal.dk/04445fde039f23f46ce07d84fd28541c', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/3494b04358f9849c72272d8ecc245ff0', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/c24bbe6871e4d93059a8d6e75c8d75ec', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/babcd8b8dc63d80fa247f1070873e9d2', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/4fdb1429942a1912dc3d90ebb0e02ae6', 'is_floor_plan': False}]",False,,ACTIVE_APPROVED,2.0,0,2024-08-01,,,,False,københavn,københavn s,,/lejem%C3%A5l/5095348/produkter,/lejem%C3%A5l/5095348/video,True,False,A2015,[],False,,False,False,False,False,,
False,False,False,False,/lejligheder/k%C3%B8benhavn/74m2-3-vaer-id-2931860,2017-03-24T13:05:18+00:00,2024-07-21T04:55:16.300059+00:00,2931860,2931860,København,Valby,Folehaven,2500,,rental_apartment,Flot 3-værelseslejlighed i Valby,3.0,74.0,8325.0,DKK,900.0,24975.0,24975.0,DKK,"{'lat': 55.652405, 'lng': 12.491421}",,"[{'url': 'https://image-lambda.boligportal.dk/ae45ae92574744710bc54bbfb92a66c1', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/9b40889f5c989128b97cbc6a18611a52', 'is_floor_plan': True}, {'url': 'https://image-lambda.boligportal.dk/515fd020e511b20f418ff816ae0d8b7f', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/b043624712c60690df74af06f6332bd1', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/1ea2b1c7de1c537fc17c4de7e6e4a6f7', 'is_floor_plan': False}]",False,,ACTIVE_APPROVED,1.0,0,2024-09-01,,,,False,københavn,valby,,/lejem%C3%A5l/2931860/produkter,/lejem%C3%A5l/2931860/video,False,False,C,[],False,,False,False,False,False,,
False,False,False,False,/lejligheder/k%C3%B8benhavn/93m2-3-vaer-id-5447875,2024-07-20T19:17:03.282524+00:00,2024-07-20T19:17:03.912108+00:00,5447875,5531376,København,Hellerup,Hellerupvej,2900,,rental_apartment,Lækker nyistandsat lejlighed centralt i Hellerup,3.0,93.0,17000.0,DKK,1500.0,,51000.0,DKK,"{'lat': 55.733799, 'lng': 12.562356}",,"[{'url': 'https://image-lambda.boligportal.dk/b9e8d6d367fb6c7cca328bd3c122f2c4', 'is_floor_plan': False}]",False,,ACTIVE_APPROVED,0.0,12,2024-08-01,,,,False,københavn,hellerup,,/lejem%C3%A5l/5531376/produkter,/lejem%C3%A5l/5531376/video,False,False,,[],False,,False,False,False,False,,
False,False,False,False,/lejligheder/k%C3%B8benhavn/105m2-3-vaer-id-5447874,2024-07-20T18:17:09.665816+00:00,2024-07-20T18:17:11.460918+00:00,5447874,5531372,København,Kongens Lyngby,Dronningens Vænge,2800,,rental_apartment,Flot lejlighed i grønne omgivelser overfor Sorgenfri Slotshave,3.0,105.0,19900.0,DKK,1380.0,,59700.0,DKK,"{'lat': 55.781148, 'lng': 12.491878}",,"[{'url': 'https://image-lambda.boligportal.dk/e12c541c682096026c480ff276055863', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/14836cffe03e7288b70a40ccab9fddea', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/616e53a69e161f73dc7a85cea330ef4b', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/8ed43605a6526038ec59398348e6c161', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/616e53a69e161f73dc7a85cea330ef4b', 'is_floor_plan': False}]",False,,ACTIVE_APPROVED,1.0,24,2024-08-01,,,,False,københavn,kongens lyngby,,/lejem%C3%A5l/5531372/produkter,/lejem%C3%A5l/5531372/video,False,False,,[],False,,False,False,False,False,,
False,False,False,False,/v%C3%A6relser/k%C3%B8benhavn/20m2-1-vaer-id-5153512,2021-02-21T12:36:14.132103+00:00,2024-07-20T16:13:59.164021+00:00,5153512,5153517,København,Brønshøj,Ruten,2700,,rental_room,Route ,1.0,20.0,2800.0,DKK,1000.0,8400.0,2800.0,DKK,"{'lat': 55.717242, 'lng': 12.485363}",,"[{'url': 'https://image-lambda.boligportal.dk/545a840471d7c554b7d083676fbaedec', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/6f061ad679cead2acb09bd71eeac8680', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/31f0b2724af29bac3224e35e3f58266a', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/fd604d96e5b8716e9171ba2dbed91222', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/2139cc349ae4e14fa0a6eb97819bc56b', 'is_floor_plan': False}]",False,,ACTIVE_APPROVED,2.0,6,2024-09-01,,,,False,københavn,brønshøj,,/lejem%C3%A5l/5153517/produkter,/lejem%C3%A5l/5153517/video,False,False,C,[],False,,False,False,False,False,,
