is_owner,is_promoted,is_open,is_exposure,url,created,advertised_date,id,rentable_id,city,city_area,street_name,postal_code,description,category,title,rooms,size_m2,monthly_rent,monthly_rent_currency,monthly_rent_extra_costs,prepaid_rent,deposit,deposit_currency,location,open_house,images,has_video,formatted_address,state,floor,rental_period,available_from,is_contactable_via_message,other_details,review_reason,needs_follow_up,city_level_1,city_level_2,city_level_3,upsell_url,video_url,digital_showing,created_draft_contract,energy_rating,locked_fields,hide_from_company_search,interactive_floor_plan_id,deleted,social_housing,is_contacted,is_newbuild,ad_phone_number,video
False,False,False,False,/lejligheder/k%C3%B8benhavn/96m2-4-vaer-id-5447396,2024-07-16T16:01:10.509018+00:00,2024-07-16T17:34:51.880096+00:00,5447396,5530740,København,København Ø,Willemoesgade,2100,,rental_apartment,Flot renoveret klassisk lejlighed med altan og tæt på Søerne - øverst i ejendommen og med perfekt lysindfald,4.0,96.0,21425.0,DKK,1200.0,64275.0,64275.0,DKK,"{'lat': 55.698167, 'lng': 12.583758}",,"[{'url': 'https://image-lambda.boligportal.dk/684292d5d4d2b7d39653c7273e8343f5', 'is_floor_plan': True}, {'url': 'https://image-lambda.boligportal.dk/553a179521a4cfaa007108f460e0a658', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/31dbc29da7bc6b1edd1402483bcacb31', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/2591f966b0b30963852a228a354e5762', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/613d00bd29110c03b2e5eab8d8e7084a', 'is_floor_plan': False}]",False,,ACTIVE_APPROVED,4.0,0,2024-08-15,,,,False,københavn,københavn ø,,/lejem%C3%A5l/5530740/produkter,/lejem%C3%A5l/5530740/video,False,False,D,[],False,,False,False,False,False,,
False,False,False,False,/lejligheder/k%C3%B8benhavn/171m2-7-vaer-id-5447395,2024-07-16T15:52:42.510245+00:00,2024-07-16T15:52:49.031836+00:00,5447395,5530741,København,København Ø,Østerbrogade,2100,,rental_apartment,Smuk møbleret Penthouse | København Ø.,7.0,171.0,32500.0,DKK,2300.0,0.0,97500.0,DKK,"{'lat': 55.699891, 'lng': 12.577195}",,"[{'url': 'https://image-lambda.boligportal.dk/30b930b2bb211b1bd0d1089e62c03681', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/b6dd32fe6f9cd23c835c3f15df468f7c', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/8793dd46fb6699b96b4aae83b9362c1b', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/fe707e7d4cf9d9b634a4c83979b842a2', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/1f3d498e1f55c5c3163525027501d8b8', 'is_floor_plan': False}]",False,,ACTIVE_APPROVED,5.0,24,2024-08-01,,,AUTO_APPROVED,False,københavn,københavn ø,,/lejem%C3%A5l/5530741/produkter,/lejem%C3%A5l/5530741/video,False,False,D,[],False,,False,False,False,False,,
False,False,False,False,/lejligheder/k%C3%B8benhavn/35m2-1-vaer-id-5447393,2024-07-16T15:29:44.173323+00:00,2024-07-16T15:29:50.311326+00:00,5447393,5530735,København,København SV,Poppelstykket,2450,,rental_apartment,Attraktive lejligheder i et opadstormende Københavnsk kvarter ,1.0,35.0,8250.0,DKK,550.0,8250.0,24750.0,DKK,"{'lat': 55.651555, 'lng': 12.511745}",,"[{'url': 'https://image-lambda.boligportal.dk/d4b4099911bfd4f489fa54ca6a7f13b3', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/16dda58e6d1c9161c924aa5a4352bd11', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/92e96d419bd809033303464295ea486f', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/8f8772739875758fadce50ca837d5482', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/39087a1fdb4d1117c7a9b2f9f4d667da', 'is_floor_plan': False}]",False,,ACTIVE_APPROVED,2.0,0,2024-08-01,,,AUTO_APPROVED,False,københavn,københavn sv,,/lejem%C3%A5l/5530735/produkter,/lejem%C3%A5l/5530735/video,False,False,A2020,[],False,,False,False,False,False,,
False,False,False,False,/lejligheder/k%C3%B8benhavn/120m2-4-vaer-id-5447392,2024-07-16T15:29:38.868508+00:00,2024-07-16T15:29:43.011048+00:00,5447392,5530734,København,København S,Robert Jacobsens Vej,2300,,rental_apartment,Bæredygtig og moderne penthouse lejlighed med egen privat tagterrasse,4.0,120.0,18300.0,DKK,1289.0,18300.0,54900.0,DKK,"{'lat': 55.622025, 'lng': 12.572292}",,"[{'url': 'https://image-lambda.boligportal.dk/9d815a791bb8c54bff1c477592110b65', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/b3532bc68b617d39998b70e620e11ca3', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/3dfd0b3412d6d2f4f0e20bbb83eb9496', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/940ffd9057c6aefe5e4e274f474498a6', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/b003ff92de5156b3010cc6664b55a532', 'is_floor_plan': False}]",False,,ACTIVE_APPROVED,4.0,0,2024-09-15,,,AUTO_APPROVED,False,københavn,københavn s,,/lejem%C3%A5l/5530734/produkter,/lejem%C3%A5l/5530734/video,False,False,A2015,[],False,,False,False,False,False,,
False,False,False,False,/lejligheder/k%C3%B8benhavn/115m2-2-vaer-id-5143127,2021-02-01T10:26:35.316076+00:00,2024-07-16T15:15:31.566918+00:00,5143127,5143127,København,København K,Torvegade,1400,,rental_apartment,Charmerende 2V lejlighed i fredet ejendom - 200 meter til Metro,2.0,115.0,17500.0,DKK,1000.0,,52500.0,DKK,"{'lat': 55.673208, 'lng': 12.58947}",,"[{'url': 'https://image-lambda.boligportal.dk/ce9fd0a1982178670a6128e719f53528', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/30c7b4d4cf843dd0706e566f0dd45dc2', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/26859d6cd761f835a766dcc0cce3295b', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/9a84b8e49657a6352339a09cd3f525f9', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/a30b7a619c950a293fa3b3e64beb9714', 'is_floor_plan': False}]",False,,ACTIVE_APPROVED,,12,2024-09-15,,,MODIFIED,False,københavn,københavn k,,/lejem%C3%A5l/5143127/produkter,/lejem%C3%A5l/5143127/video,False,False,,[],False,,False,False,False,False,,
False,False,False,False,/lejligheder/k%C3%B8benhavn/36m2-1-vaer-id-4424084,2019-11-03T13:24:30+00:00,2024-07-16T15:06:16.351453+00:00,4424084,4424084,København,København N,Lundtoftegade,2200,,rental_apartment,New Build furnished Luxury studio apartm/Penthouse,1.0,36.0,10350.0,DKK,975.0,0.0,20700.0,DKK,"{'lat': 55.697495, 'lng': 12.538232}",,"[{'url': 'https://image-lambda.boligportal.dk/3eabca76ceeb000f05286c3dfe43af6d', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/58524e11177d1334623556353e00060f', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/de0c2af7a23fe7965f5d4c5ab2de7e42', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/f30c5cbbcfc9773e0b38317c6b36780e', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/1563db75ec082700c825cd9324ac3d12', 'is_floor_plan': False}]",False,,ACTIVE_APPROVED,4.0,0,,,,MODIFIED,False,københavn,københavn n,,/lejem%C3%A5l/4424084/produkter,/lejem%C3%A5l/4424084/video,False,False,A2015,[],False,,False,False,False,False,,
False,False,True,True,/v%C3%A6relser/k%C3%B8benhavn/25m2-1-vaer-id-5447040,2024-07-14T11:31:57.651144+00:00,2024-07-16T14:31:18.927706+00:00,5447040,5530250,København,København NV,Hejrevej,2400,,rental_room,"Room in a 125 sqm newly built apartment, 4min from Nørrebro St. - Physical/virtual viewings available!",1.0,25.0,7900.0,DKK,0.0,0.0,15800.0,DKK,"{'lat': 55.700698, 'lng': 12.533773}",,"[{'url': 'https://image-lambda.boligportal.dk/2622cddcd3e70a473736457712b187f7', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/6b7a14f7d6c256d93288d030fc0f60f9', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/bac47090f3ff1fb71feea1b677ccb482', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/3076585e02dd45cfb5df68fc18700770', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/a1ffcf5b6f6182e53fe6dfd522eb4296', 'is_floor_plan': False}]",True,,ACTIVE_APPROVED,3.0,0,,,,MODIFIED,False,københavn,københavn nv,,/lejem%C3%A5l/5530250/produkter,/lejem%C3%A5l/5530250/video,True,False,D,[],False,,False,False,False,False,,"{'video_id': 984923535, 'status': 'playable', 'video_hash': '984923535'}"
False,False,False,False,/lejligheder/k%C3%B8benhavn/81m2-3-vaer-id-5447387,2024-07-16T14:29:59.158686+00:00,2024-07-16T14:30:06.943028+00:00,5447387,5530725,København,Hedehusene,Skolebakken,2640,,rental_apartment,Moderne lejligheder tæt på natur,3.0,81.0,11650.0,DKK,950.0,11650.0,34950.0,DKK,"{'lat': 55.646742, 'lng': 12.199534}",,"[{'url': 'https://image-lambda.boligportal.dk/179d3eef2b07b402ef0b34093690e687', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/14d6b69f79ccea20a3dfad82b0adc690', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/6a1fd1f4f623f238b519699aa7cfc032', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/f15174191d97678c5fb9619917d7ad26', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/4d7d84459ccbecb56a9bb1c0426bc2b4', 'is_floor_plan': False}]",False,,ACTIVE_APPROVED,3.0,0,2024-09-01,,,AUTO_APPROVED,False,københavn,hedehusene,nærheden,/lejem%C3%A5l/5530725/produkter,/lejem%C3%A5l/5530725/video,False,False,,[],False,,False,False,False,False,,
False,False,False,False,/lejligheder/k%C3%B8benhavn/43m2-2-vaer-id-5447386,2024-07-16T14:29:48.799718+00:00,2024-07-16T14:29:58.281538+00:00,5447386,5530724,København,København SV,Poppelstykket,2450,,rental_apartment,Attraktive lejligheder i et opadstormende Københavnsk kvarter ,2.0,43.0,10400.0,DKK,550.0,10400.0,31200.0,DKK,"{'lat': 55.651555, 'lng': 12.511745}",,"[{'url': 'https://image-lambda.boligportal.dk/3778688017d181cbacd6d78ec7953b7f', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/16dda58e6d1c9161c924aa5a4352bd11', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/92e96d419bd809033303464295ea486f', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/8f8772739875758fadce50ca837d5482', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/39087a1fdb4d1117c7a9b2f9f4d667da', 'is_floor_plan': False}]",False,,ACTIVE_APPROVED,1.0,0,2024-09-01,,,AUTO_APPROVED,False,københavn,københavn sv,,/lejem%C3%A5l/5530724/produkter,/lejem%C3%A5l/5530724/video,False,False,A2020,[],False,,False,False,False,False,,
False,False,False,False,/lejligheder/k%C3%B8benhavn/36m2-1-vaer-id-5367852,2023-06-23T11:01:29.445396+00:00,2024-07-16T14:29:48.181655+00:00,5367852,5425577,København,København SV,Poppelstykket,2450,,rental_apartment,Attraktive lejligheder i et opadstormende Københavnsk kvarter ,1.0,36.0,8450.0,DKK,550.0,8450.0,25350.0,DKK,"{'lat': 55.651287, 'lng': 12.511496}",,"[{'url': 'https://image-lambda.boligportal.dk/16dda58e6d1c9161c924aa5a4352bd11', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/92e96d419bd809033303464295ea486f', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/8f8772739875758fadce50ca837d5482', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/39087a1fdb4d1117c7a9b2f9f4d667da', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/3c4613aa5582cafe9948aff644836856', 'is_floor_plan': False}]",False,,ACTIVE_APPROVED,5.0,0,2024-09-01,,,AUTO_APPROVED,False,københavn,københavn sv,,/lejem%C3%A5l/5425577/produkter,/lejem%C3%A5l/5425577/video,False,False,A2020,[],False,,False,False,False,False,,
False,False,False,False,/lejligheder/k%C3%B8benhavn/35m2-1-vaer-id-5447385,2024-07-16T14:29:39.344355+00:00,2024-07-16T14:29:47.640491+00:00,5447385,5530723,København,København SV,Poppelstykket,2450,,rental_apartment,Attraktive lejligheder i et opadstormende Københavnsk kvarter ,1.0,35.0,8200.0,DKK,550.0,8200.0,24600.0,DKK,"{'lat': 55.651287, 'lng': 12.511496}",,"[{'url': 'https://image-lambda.boligportal.dk/8f8772739875758fadce50ca837d5482', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/16dda58e6d1c9161c924aa5a4352bd11', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/92e96d419bd809033303464295ea486f', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/39087a1fdb4d1117c7a9b2f9f4d667da', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/3c4613aa5582cafe9948aff644836856', 'is_floor_plan': False}]",False,,ACTIVE_APPROVED,3.0,0,2024-09-01,,,AUTO_APPROVED,False,københavn,københavn sv,,/lejem%C3%A5l/5530723/produkter,/lejem%C3%A5l/5530723/video,False,False,A2020,[],False,,False,False,False,False,,
False,False,False,False,/lejligheder/k%C3%B8benhavn/90m2-4-vaer-id-5447384,2024-07-16T14:29:30.093429+00:00,2024-07-16T14:29:38.123444+00:00,5447384,5530722,København,København S,Nadine Gordimers Vej,2300,,rental_apartment,Lyse moderne boliger,4.0,90.0,15550.0,DKK,950.0,15550.0,46650.0,DKK,"{'lat': 55.635576, 'lng': 12.579051}",,"[{'url': 'https://image-lambda.boligportal.dk/70f7dc9001db0e5da0e56d39eed6165c', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/6fcd4158b3d534b409c8d0ec043222e4', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/20b91f21e56f0b291be6102cd09de4a0', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/fe325897791d2d8906cafb110dbcda6b', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/86732faff99d9bc97cd34b1cbf6f2c2c', 'is_floor_plan': False}]",False,,ACTIVE_APPROVED,2.0,0,2024-09-01,,,AUTO_APPROVED,False,københavn,københavn s,,/lejem%C3%A5l/5530722/produkter,/lejem%C3%A5l/5530722/video,False,False,,[],False,,False,False,False,False,,
False,False,False,False,/lejligheder/k%C3%B8benhavn/65m2-2-vaer-id-4810058,2020-06-24T08:19:21+00:00,2024-07-16T14:16:03.092225+00:00,4810058,4810058,København,København S,Else Alfelts Vej,2300,,rental_apartment,Stor og veldisponeret 2-værelses med to terrasser,2.0,65.0,12200.0,DKK,800.0,12200.0,36600.0,DKK,"{'lat': 55.618357, 'lng': 12.569289}",,"[{'url': 'https://image-lambda.boligportal.dk/85008fe6426eb1aaf6b90876d2096f05', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/03b3e0b0425853186966c88475e7347c', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/c21904a8a87bde82b7649eb106fee9f2', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/2e09db25cb4837e3040709d849fa7118', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/52e01b8f5b2e1ca2ecb9c7c1cfc2f93f', 'is_floor_plan': False}]",False,,ACTIVE_APPROVED,0.0,0,2024-09-15,,,AUTO_APPROVED,False,københavn,københavn s,,/lejem%C3%A5l/4810058/produkter,/lejem%C3%A5l/4810058/video,False,False,A2020,[],False,,False,False,False,False,,
False,False,False,False,/lejligheder/k%C3%B8benhavn/97m2-3-vaer-id-5129557,2021-01-08T14:16:12+00:00,2024-07-16T14:04:46.268649+00:00,5129557,5129557,København,Valby,Carl Jacobsens Vej,2500,,rental_apartment,3 værelses Lejlighed på 97 m²,3.0,97.0,12891.0,DKK,1055.0,12891.0,38673.0,DKK,"{'lat': 55.653144, 'lng': 12.517132}",,"[{'url': 'https://image-lambda.boligportal.dk/a747d7573e4347e4a551bbf27b1e0cb3', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/bb0b8e69965eb897faa624c9dd65de6c', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/9aecab9c567f30106df98d71b32c7cb0', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/d82f2156fefe19ca5e85e3d1790a0c41', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/b5d0e49a009004e36596295ec876ee67', 'is_floor_plan': False}]",False,,ACTIVE_APPROVED,0.0,0,2024-10-01,,,MODIFIED,False,københavn,valby,,/lejem%C3%A5l/5129557/produkter,/lejem%C3%A5l/5129557/video,False,False,,[],False,,False,False,False,False,,
False,False,False,False,/lejligheder/k%C3%B8benhavn/106m2-3-vaer-id-5447370,2024-07-16T13:57:59.857569+00:00,2024-07-16T13:57:59.976094+00:00,5447370,5530695,København,København Ø,Østerbrogade,2100,,rental_apartment,Nyopført taglejlighed med altan på Østerbro,3.0,106.0,25175.0,DKK,1000.0,75525.0,75525.0,DKK,"{'lat': 55.702341, 'lng': 12.577721}",,"[{'url': 'https://image-lambda.boligportal.dk/e9044e012b3910cf1e570ee2f6174926', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/f00485cd21223f745a0507be75b8f356', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/2c1733909d27a985477f3df4346b5151', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/a1dbfd4864d96cb7e39b43f763d582ca', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/d47827048cbf0f11061fe684986c4ef6', 'is_floor_plan': False}]",False,,ACTIVE_APPROVED,5.0,0,2024-08-15,,,AUTO_APPROVED,False,københavn,københavn ø,,/lejem%C3%A5l/5530695/produkter,/lejem%C3%A5l/5530695/video,False,False,,[],False,,False,False,False,False,,
