is_owner,is_promoted,is_open,is_exposure,url,created,advertised_date,id,rentable_id,city,city_area,street_name,postal_code,description,category,title,rooms,size_m2,monthly_rent,monthly_rent_currency,monthly_rent_extra_costs,prepaid_rent,deposit,deposit_currency,location,open_house,images,has_video,formatted_address,state,floor,rental_period,available_from,is_contactable_via_message,other_details,review_reason,needs_follow_up,city_level_1,city_level_2,city_level_3,upsell_url,video_url,digital_showing,created_draft_contract,energy_rating,locked_fields,hide_from_company_search,interactive_floor_plan_id,deleted,social_housing,is_contacted,is_newbuild,ad_phone_number,video
False,False,False,False,/lejligheder/k%C3%B8benhavn/56m2-2-vaer-id-5184445,2021-05-03T16:55:30.755212+00:00,2024-07-21T14:51:34.333669+00:00,5184445,5184476,København,København Ø,Æbeløgade,2100,,rental_apartment,"Lækker, lys indflytningsklar 2-værelses lejlighed i det eftertragtede Klimakvarter på Østerbro med indflytning pr. 01/10/1024",2.0,56.0,12400.0,DKK,1100.0,26000.0,26000.0,DKK,"{'lat': 55.712532, 'lng': 12.561227}",,"[{'url': 'https://image-lambda.boligportal.dk/30dd82b6d883712fe5a11493f63a1075', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/0395f83d92e88ba8a92caa36a26b3cc4', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/c232de70790d4469329fc12ab40dd940', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/68366328bc7ab967d41bb392313c2625', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/4b19bcd25611175c4ae6080a607511a3', 'is_floor_plan': False}]",False,,ACTIVE_APPROVED,2.0,0,2024-10-01,,,,False,københavn,københavn ø,,/lejem%C3%A5l/5184476/produkter,/lejem%C3%A5l/5184476/video,True,False,D,[],False,,False,False,False,False,,
False,False,False,False,/v%C3%A6relser/k%C3%B8benhavn/15m2-1-vaer-id-5381282,2023-08-20T09:33:01.517000+00:00,2024-07-21T08:07:09.351245+00:00,5381282,5443346,København,København S,Under Elmene,2300,,rental_room,15 m2 i starten af Amager,1.0,15.0,6500.0,DKK,0.0,0.0,6500.0,DKK,"{'lat': 55.66544, 'lng': 12.598308}",,"[{'url': 'https://image-lambda.boligportal.dk/d51bab35c6b4f67fd69b4a0955879fad', 'is_floor_plan': False}]",False,,ACTIVE_APPROVED,5.0,0,2024-08-01,,,,False,københavn,københavn s,,/lejem%C3%A5l/5443346/produkter,/lejem%C3%A5l/5443346/video,True,False,,[],False,,False,False,False,False,,
False,False,False,False,/lejligheder/k%C3%B8benhavn/63m2-3-vaer-id-5095348,2020-12-14T13:42:17+00:00,2024-07-21T07:07:35.465890+00:00,5095348,5095348,København,København S,Kastrupvej,2300,,rental_apartment,"3 værelse, lejlighed, 63 m2, Kastrupvej, KBH",3.0,63.0,10000.0,DKK,1000.0,0.0,30000.0,DKK,"{'lat': 55.655677, 'lng': 12.617045}",,"[{'url': 'https://image-lambda.boligportal.dk/04445fde039f23f46ce07d84fd28541c', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/3494b04358f9849c72272d8ecc245ff0', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/c24bbe6871e4d93059a8d6e75c8d75ec', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/babcd8b8dc63d80fa247f1070873e9d2', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/4fdb1429942a1912dc3d90ebb0e02ae6', 'is_floor_plan': False}]",False,,ACTIVE_APPROVED,2.0,0,2024-08-01,,,,False,københavn,københavn s,,/lejem%C3%A5l/5095348/produkter,/lejem%C3%A5l/5095348/video,True,False,A2015,[],False,,False,False,False,False,,
False,False,False,False,/v%C3%A6relser/k%C3%B8benhavn/20m2-1-vaer-id-5153512,2021-02-21T12:36:14.132103+00:00,2024-07-20T16:13:59.164021+00:00,5153512,5153517,København,Brønshøj,Ruten,2700,,rental_room,Route ,1.0,20.0,2800.0,DKK,1000.0,8400.0,2800.0,DKK,"{'lat': 55.717242, 'lng': 12.485363}",,"[{'url': 'https://image-lambda.boligportal.dk/545a840471d7c554b7d083676fbaedec', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/6f061ad679cead2acb09bd71eeac8680', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/31f0b2724af29bac3224e35e3f58266a', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/fd604d96e5b8716e9171ba2dbed91222', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/2139cc349ae4e14fa0a6eb97819bc56b', 'is_floor_plan': False}]",False,,ACTIVE_APPROVED,2.0,6,2024-09-01,,,,False,københavn,brønshøj,,/lejem%C3%A5l/5153517/produkter,/lejem%C3%A5l/5153517/video,False,False,C,[],False,,False,False,False,False,,
False,False,False,False,/v%C3%A6relser/k%C3%B8benhavn/12m2-1-vaer-id-5238627,2021-11-05T09:17:41.540283+00:00,2024-07-20T08:09:03.604601+00:00,5238627,5249729,København,København NV,Vestergårdsvej,2400,,rental_room,værelse til leje,1.0,12.0,3700.0,DKK,300.0,4000.0,4000.0,DKK,"{'lat': 55.699834, 'lng': 12.523683}",,"[{'url': 'https://image-lambda.boligportal.dk/f3d96c6d87ae450d1802c5640646ad1e', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/4e77f2e7dc54c5daa7e8f86276788cfb', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/94eeb2a317cc5ca692f2c37371cd4429', 'is_floor_plan': False}]",False,,ACTIVE_APPROVED,1.0,12,2024-09-01,,,,False,københavn,københavn nv,,/lejem%C3%A5l/5249729/produkter,/lejem%C3%A5l/5249729/video,False,False,F,[],False,,False,False,False,False,,
False,False,False,False,/v%C3%A6relser/k%C3%B8benhavn/13m2-1-vaer-id-4497770,2019-12-27T17:44:02+00:00,2024-07-20T07:57:35.448967+00:00,4497770,4497770,København,Frederiksberg,Solbjerg Have,2000,,rental_room,Lyst værelse udlejes,1.0,13.0,4000.0,DKK,0.0,1.0,4000.0,DKK,"{'lat': 55.683328, 'lng': 12.506666}",,"[{'url': 'https://image-lambda.boligportal.dk/3d35cd68ceab61e8f3c2d485c058cc8e', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/c9a6c2040664b50d1066adf7ed706ac6', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/11660ebde14c77afeb6ab590736b6d61', 'is_floor_plan': False}]",False,,ACTIVE_APPROVED,2.0,6,2024-08-05,,,,False,københavn,frederiksberg,,/lejem%C3%A5l/4497770/produkter,/lejem%C3%A5l/4497770/video,False,False,,[],False,,False,False,False,False,,
False,False,False,False,/v%C3%A6relser/k%C3%B8benhavn/17m2-1-vaer-id-5447846,2024-07-19T14:43:05.143958+00:00,2024-07-19T16:03:29.866664+00:00,5447846,5531201,København,Frederiksberg,Peter Bangs Vej,2000,,rental_room,Par søges! Leder i efter det perfekte sted at bo på Frederiksberg?,1.0,17.0,9531.1,DKK,450.0,28593.1,28593.1,DKK,"{'lat': 55.678032, 'lng': 12.49784}",,"[{'url': 'https://image-lambda.boligportal.dk/b3d3383f39246013405ed00dabbe383f', 'is_floor_plan': True}, {'url': 'https://image-lambda.boligportal.dk/11fe284cd17d30f7e54bf60786e5c858', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/2c98e33f001e3362105f8c7d911f3947', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/d747a5941e275836bdb9834eaa92aaf1', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/57e608d2140377d9dd879d8171d526e6', 'is_floor_plan': False}]",False,,ACTIVE_APPROVED,3.0,0,,,,,False,københavn,frederiksberg,,/lejem%C3%A5l/5531201/produkter,/lejem%C3%A5l/5531201/video,True,False,C,[],False,,False,False,False,False,,
False,False,False,False,/lejligheder/k%C3%B8benhavn/145m2-4-vaer-id-5050184,2020-11-13T09:29:11+00:00,2024-07-19T13:50:04.876765+00:00,5050184,5050184,København,Hellerup,Tuborg Bakkedrag,2900,,rental_apartment,Liebhaverboliger med udsigt til vand og vild natur,4.0,145.0,41000.0,DKK,1600.0,41000.0,123000.0,DKK,"{'lat': 55.722406, 'lng': 12.582175}",,"[{'url': 'https://image-lambda.boligportal.dk/bdcd64901b66f57385ba7cc6d710df45', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/232bd7c26e1ef83be4b0ea82a53e329d', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/3cc2d4325f8a178f5389d83ceb871015', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/4d77e59206c51600d4ab02dade0fb48f', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/95c7370d17591eea9e3b36aad3f666de', 'is_floor_plan': False}]",False,,ACTIVE_APPROVED,4.0,0,2024-09-15,,,,False,københavn,hellerup,,/lejem%C3%A5l/5050184/produkter,/lejem%C3%A5l/5050184/video,True,False,A2015,[],False,,False,False,False,False,,
False,False,False,False,/v%C3%A6relser/k%C3%B8benhavn/10m2-1-vaer-id-5413463,2024-01-17T14:22:16.836525+00:00,2024-07-19T13:13:21.991437+00:00,5413463,5484450,København,København K,Nørre Farimagsgade,1364,,rental_room,"Furnished room in a coliving apartment (incl. utilities, cleaning, internet and CPR)",1.0,10.0,9250.0,DKK,0.0,0.0,10000.0,DKK,"{'lat': 55.682837, 'lng': 12.565713}",,"[{'url': 'https://image-lambda.boligportal.dk/6e738362f182f5e63911ff7cee130db3', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/f5eb19346199dd3a928e3e68a573c472', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/bad812541eaac1480253026e8be1f4e1', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/3ce24dbbe4b4994d83777dfc650ffc45', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/28dfbe627fba037035978e545c5afb44', 'is_floor_plan': False}]",False,,ACTIVE_APPROVED,0.0,0,,,,,False,københavn,københavn k,,/lejem%C3%A5l/5484450/produkter,/lejem%C3%A5l/5484450/video,False,False,D,[],False,,False,False,False,False,,
False,False,False,False,/v%C3%A6relser/k%C3%B8benhavn/12m2-1-vaer-id-5413460,2024-01-17T14:15:03.402044+00:00,2024-07-19T13:01:27.127727+00:00,5413460,5484444,København,København SV,Otto Brandenburgs Vej,2450,,rental_room,"Furnished room in a coliving apartment (incl. utilities, cleaning, internet and CPR)",1.0,12.0,9950.0,DKK,0.0,0.0,10000.0,DKK,"{'lat': 55.644693, 'lng': 12.549382}",,"[{'url': 'https://image-lambda.boligportal.dk/bd81c30c727673f5063fa6e00d93c38f', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/2a3c14932a6ee22084840cb245de81a6', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/5a820d93b0f130c3f9370fa39cb1f10d', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/3df7554538ad9c2cf04443ac45ce1307', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/4405b61f90e7b5e5a7dc2831d004bf80', 'is_floor_plan': False}]",False,,ACTIVE_APPROVED,1.0,0,,,,,False,københavn,københavn sv,,/lejem%C3%A5l/5484444/produkter,/lejem%C3%A5l/5484444/video,False,False,D,[],False,,False,False,False,False,,
False,False,False,False,/lejligheder/k%C3%B8benhavn/43m2-2-vaer-id-5428416,2024-03-25T15:29:19.058093+00:00,2024-07-19T12:29:18.983360+00:00,5428416,5504465,København,København SV,Poppelstykket,2450,,rental_apartment,Attraktive lejligheder i et opadstormende Københavnsk kvarter ,2.0,43.0,10400.0,DKK,650.0,10400.0,31200.0,DKK,"{'lat': 55.651555, 'lng': 12.511745}",,"[{'url': 'https://image-lambda.boligportal.dk/39087a1fdb4d1117c7a9b2f9f4d667da', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/16dda58e6d1c9161c924aa5a4352bd11', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/92e96d419bd809033303464295ea486f', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/8f8772739875758fadce50ca837d5482', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/3c4613aa5582cafe9948aff644836856', 'is_floor_plan': False}]",False,,ACTIVE_APPROVED,4.0,0,2024-07-19,,,,False,københavn,københavn sv,,/lejem%C3%A5l/5504465/produkter,/lejem%C3%A5l/5504465/video,False,False,A2020,[],False,,False,False,False,False,,
