borough,count,mean,std,min,25%,50%,75%,max
Indre By,2.0,349.8355263157895,26.283903379631543,331.25,340.54276315789474,349.8355263157895,359.1282894736842,368.42105263157896
Amager Vest,20.0,307.5798443084131,62.297402685577154,174.52830188679246,273.4375,319.5378151260504,342.30445752733385,448.2758620689655
Østerbro,7.0,253.43348475347207,48.18099002405232,174.41860465116278,226.0110294117647,270.5882352941176,278.50274725274727,320.0
Frederiksberg,25.0,253.84915985216293,29.10994358030373,165.68627450980392,248.38709677419354,258.06451612903226,272.41379310344826,292.5925925925926
Vesterbro-Kongens Enghave,32.0,250.62211649108662,39.977489114903285,141.02564102564102,235.95238095238096,254.83870967741936,264.8244781783681,339.3939393939394
Vanløse,12.0,240.37836450130354,23.592307287082583,205.71428571428572,225.43859649122805,244.0340909090909,256.74418604651163,272.41379310344826
Brønshøj-Husum,14.0,226.37409875794506,25.430434575290334,152.1891891891892,220.63172043010752,237.09677419354838,241.53225806451613,246.875
Valby,66.0,236.19431054233146,27.116588161286305,161.56603773584905,227.85714285714286,235.71428571428572,246.875,350.0
Nørrebro,3.0,221.42857142857142,0.0,221.42857142857142,221.42857142857142,221.42857142857142,221.42857142857142,221.42857142857142
Amager Øst,41.0,241.81665076788548,37.34335165553626,192.70833333333334,217.74193548387098,217.74193548387098,257.4074074074074,346.15384615384613
Bispebjerg,17.0,196.69211634518302,53.674000011392295,153.65853658536585,153.65853658536585,155.55555555555554,235.4375,296.2962962962963
