borough,count,mean,std,min,25%,50%,75%,max
Indre By,2.0,15800.0,7353.9105243400945,10600.0,13200.0,15800.0,18400.0,21000.0
Amager Vest,20.0,10542.0,2611.0929351115547,7000.0,9000.0,9750.0,11705.0,18500.0
Nørrebro,3.0,9300.0,0.0,9300.0,9300.0,9300.0,9300.0,9300.0
Vanløse,12.0,8829.166666666666,1486.8298082793062,7200.0,7875.0,8150.0,10750.0,10850.0
Valby,66.0,8365.954545454546,943.7088767495748,6650.0,7900.0,8100.0,8450.0,10700.0
Vesterbro-Kongens Enghave,32.0,8285.15625,1139.2877545649355,5500.0,7900.0,7950.0,8775.0,11200.0
Frederiksberg,25.0,8541.0,990.3050876707979,7600.0,7900.0,7900.0,9300.0,10950.0
Brønshøj-Husum,14.0,7680.785714285715,1009.2111297422381,5631.0,7400.0,7550.0,7825.0,10000.0
Østerbro,7.0,8035.714285714285,971.5598650770685,7100.0,7450.0,7500.0,8575.0,9600.0
Amager Øst,41.0,8135.243902439024,1910.7432949049933,6750.0,6750.0,6950.0,9100.0,14500.0
Bispebjerg,17.0,7217.588235294118,1033.9932337075234,6300.0,6300.0,6950.0,8185.0,8900.0
