borough,count,mean,std,min,25%,50%,75%,max
Amager Vest,28.0,471.16555610755796,165.7419405509344,200.0,335.59415584415586,477.27272727272725,593.1818181818181,766.6666666666666
Valby,10.0,458.5498120300751,176.44677379424763,197.10526315789474,351.5625,462.5,500.0,757.1428571428571
Indre By,22.0,493.26619446007277,197.55307724864187,190.9090909090909,327.27272727272725,435.6060606060606,661.7063492063492,925.0
Bispebjerg,6.0,425.1559714795009,125.3149701510452,294.11764705882354,316.25,420.0,520.0,581.8181818181819
Nørrebro,18.0,442.1607869167869,157.43313285060796,225.0,306.7875,400.0,541.6666666666666,785.7142857142857
Vesterbro-Kongens Enghave,28.0,461.56743046095886,176.6546131225704,281.25,345.5528846153846,384.8076923076923,525.1497222222222,975.0
Frederiksberg,31.0,405.89950327061126,150.9866384721762,137.5,295.45454545454544,375.0,544.4444444444445,710.0
Vanløse,9.0,339.6376602885193,68.55336247799968,206.25,328.57142857142856,354.83870967741933,386.6666666666667,417.39130434782606
Østerbro,20.0,369.90671813566547,153.09830122608724,135.71428571428572,269.39935064935065,348.24561403508767,494.6428571428571,714.2857142857143
Amager Øst,8.0,353.54866946778714,166.10603228382354,140.0,229.74439775910363,328.33333333333337,487.5,583.3333333333334
Brønshøj-Husum,11.0,317.63666242371147,148.057453156934,140.0,208.65384615384616,260.0,393.1818181818182,637.5
