borough,count,mean,std,min,25%,50%,75%,max
Indre By,22.0,8075.409090909091,2067.364060345603,4000.0,6312.5,8000.0,9875.0,11000.0
Frederiksberg,31.0,6731.487096774194,2191.3117658519727,4000.0,5450.0,6400.0,6675.0,14200.0
Amager Vest,28.0,5952.571428571428,1389.2737092284729,3200.0,5000.0,6250.0,6787.5,8200.0
Vesterbro-Kongens Enghave,28.0,6575.9425,1705.5462107546205,4500.0,5500.0,6100.0,7125.0,11200.0
Østerbro,20.0,6237.0,1640.0933863013636,3800.0,5275.0,6100.0,7175.0,10000.0
Nørrebro,18.0,5747.384444444444,1931.009675944388,3300.0,4125.0,6050.0,6475.0,11000.0
Valby,10.0,6239.0,985.3871207691816,5000.0,5550.0,5950.0,6875.0,8000.0
Bispebjerg,6.0,5650.0,1914.9412523625888,3400.0,4025.0,5700.0,7225.0,7900.0
Amager Øst,8.0,5718.75,1630.4989376611952,4000.0,4725.0,5350.0,6250.0,8950.0
Vanløse,9.0,5125.0,830.8504678941933,4000.0,4600.0,4950.0,5800.0,6500.0
Brønshøj-Husum,11.0,5245.454545454545,1944.4092348904517,2500.0,4500.0,4800.0,6250.0,8500.0
